689,IR-0005688,Error Creating a new announcement from RFC
690,IR-0005689,Cumulative patch for FBR environment
691,IR-0005690,Issue at OSU
692,IR-0005691,Impacted resources can't add through CGWeb - List is coming up blank
693,IR-0005692,Left Hand Side Navigation for Active Requests or Closed Requests returns error
694,IR-0005693,Deleted Change Types  are showing up when creating a new ticket.
695,IR-0005694,Windows 2003 SP2
697,IR-0005696,License Check (Alverno) Urgent
698,IR-0005697,Improved Reports Package
699,IR-0005698,Approver does not seem to have been added correctly to RFC
700,IR-0005699,Upgrade Questions
701,IR-0005700,ChangeGear software - Speedco
702,IR-0005701,User cannot approve RFC
703,IR-0005702,RFC History Comments dialog does not automatically have comments input box active
704,IR-0005703,Web Add Attachment Dialog too short for content
705,IR-0005704,License Check (Atlanta Public)
706,IR-0005705,License Check (DOD Education)
707,IR-0005706,Help installing Web Services
709,IR-0005708,Need to add a link to a web form
710,IR-0005709,Silent install of ChangeGear 3.5 Client
711,IR-0005710,End Users Cannot Edit RFC after Submit
712,IR-0005711,Can RFC Number be assigned on NEW instead of save (to act like previous versions)
713,IR-0005712,Want Summary Field dropdown on CGWeb
714,IR-0005713,Questions on expected behavior with 3.5 web
715,IR-0005714,Seeing old users from Trial Data in Assigned To field after 3.5 upgrade
716,IR-0005715,License Check (St Luke's)
717,IR-0005716,Problem with Custom BPA
719,IR-0005718,Close Type is Saving Incorrectly
722,IR-0005721,Does CG CMDB Track Logs
724,IR-0005723, Not all IRs showing in "My Active Incidents" view from the web
725,IR-0005724,Users in Incident Requester Role cannot approve RFCs
726,IR-0005725,Emails showing up as html code instead of html pages
728,IR-0005727,License Check (CitiStreet)
729,IR-0005728,Change Type Hierarchy
730,IR-0005729,Mulit instance question
731,IR-0005730,Root Element Missing Error on Custom View
733,IR-0005732,Web Upgrade Doesn't Seem to be Working
734,IR-0005733,Question on Symatec compatibility with ChangeGear
735,IR-0005734,Description and Internal Notes being double entered for Incidents
736,IR-0005735,Cannot login to ChangeGear - Concurrent seat not available
737,IR-0005736,Issues with Approval Groups
738,IR-0005737,Error when trying to scan windows servers not on the domain
739,IR-0005738,BPA to Make RFCs with no Deployment Owner or Project go back to Unsubmitted doesn't work
740,IR-0005739,Questions about relationships
741,IR-0005740,Changing the default database
742,IR-0005741,Questions about 3.0 upgrade
743,IR-0005742,change gear not sending auto emails since Jan17pm
744,IR-0005743,Announcements and Release Showing up Unlicensed.
745,IR-0005744,Users over VPN cannot access ChangeGear
746,IR-0005745,License Check (ENIUK)
751,IR-0005750,Login Error to ChangeGear
754,IR-0005753,discovery tool question
